level,measure,contrast,layer,head,n,mean,median,sd,dz,n_pos,n_neg,p_sign,p_wilcoxon,p_perm,p_fwer,q_bh,mean_adj,dz_adj,p_perm_adj,p_fwer_adj,covariates_used
head,spectral_radius,injected-control,3,3,38.0,-0.006751581095159054,-0.006747066974639893,0.0056716338731348515,-1.1904120445251465,3.0,35.0,6.677873898297548e-08,1.4806573744863272e-08,0.0001999600079984003,0.0001999600079984003,0.0030111624733876754,-0.007184144947754331,-1.5705968319036785,0.0001999600079984003,0.0001999600079984003,4.0
head,spectral_radius,injected-control,3,4,38.0,0.0007415696163661778,-0.0003648996353149414,0.0052150641568005085,0.1421976089477539,19.0,19.0,1.0,0.2551387846469879,0.3915216956608678,1.0,0.5359869202630062,0.0010818377646575825,0.23614385252329595,0.28254349130173967,1.0,4.0
head,spectral_radius,injected-control,3,5,38.0,0.0009993534768000245,0.000410616397857666,0.00581925455480814,0.17173221707344055,22.0,16.0,0.417692190836533,0.27381283044815063,0.29774045190961806,1.0,0.45916599812567604,0.0015868876395379026,0.26975998212409463,0.2591481703659268,1.0,4.0
head,spectral_radius,injected-control,3,6,38.0,0.0028667293954640627,0.0032377243041992188,0.00532334903255105,0.5385199189186096,27.0,11.0,0.013852965261321515,0.003130059689283371,0.0023995200959808036,0.3245350929814037,0.01428551499002525,0.0038720793478878245,0.7837663794613199,0.0001999600079984003,0.08338332333533294,4.0
head,spectral_radius,injected-control,3,7,38.0,-0.0011036897776648402,-0.001139223575592041,0.004689604043960571,-0.235348179936409,15.0,23.0,0.2558750795433298,0.2096356898546219,0.15036992601479704,1.0,0.2883498206725696,-0.0005850700918357693,-0.14069655447623367,0.504499100179964,1.0,4.0
head,spectral_radius,injected-control,3,8,38.0,-0.0018822958227247,-0.0014960169792175293,0.005288843065500259,-0.3558993637561798,11.0,27.0,0.013852965261321515,0.02156846970319748,0.033993201359728054,0.9928014397120576,0.10118906451267885,-0.002619864807922484,-0.5208898099661968,0.03679264147170566,0.8400319936012798,4.0
head,spectral_radius,injected-control,3,9,38.0,-0.004327002447098494,-0.0036064982414245605,0.007579699624329805,-0.5708673000335693,11.0,27.0,0.013852965261321515,0.00041418627370148897,0.0003999200159968006,0.21215756848630274,0.004550201070896932,-0.0053658273463091715,-0.8140064148339183,0.0003999200159968006,0.057588482303539294,4.0
head,spectral_radius,injected-control,3,10,38.0,-0.005422043148428202,-0.005533874034881592,0.007600924465805292,-0.7133399844169617,9.0,29.0,0.0016580525261815637,9.140581823885441e-05,0.0001999600079984003,0.01879624075184963,0.0030111624733876754,-0.0048853816114616385,-0.6759627000010056,0.0003999200159968006,0.27894421115776846,4.0
head,spectral_radius,injected-control,3,11,38.0,0.0001638061075937003,0.00046372413635253906,0.003565578954294324,0.045940957963466644,20.0,18.0,0.8714146793645341,0.7415717840194702,0.7734453109378124,1.0,0.8578163155247739,0.0003225583309434041,0.09020993767772059,0.6046790641871626,1.0,4.0
head,spectral_radius,injected-control,3,12,38.0,-0.0026144888252019882,-0.0016391873359680176,0.007065894082188606,-0.37001529335975647,9.0,29.0,0.0016580525261815637,0.001100611872971058,0.02959408118376325,0.9848030393921215,0.09183133070355626,-0.0037338780231390882,-0.682935633858774,0.0005998800239952009,0.2589482103579284,4.0
head,spectral_radius,injected-control,3,13,38.0,-0.0012880563735961914,-0.001117706298828125,0.007020052056759596,-0.18348245322704315,16.0,22.0,0.417692190836533,0.18917438387870789,0.2679464107178564,1.0,0.42871425714857025,-0.002687628044779809,-0.4988547462400417,0.004399120175964807,0.8964207158568286,4.0
head,spectral_radius,injected-control,3,14,38.0,0.004469400737434626,0.0041394829750061035,0.0062554567120969296,0.7144803404808044,28.0,10.0,0.0050976432976312935,0.00010579609079286456,0.0001999600079984003,0.018196360727854428,0.0030111624733876754,0.0037360302196444753,0.7035903861174283,0.0011997600479904018,0.20775844831033793,4.0
head,spectral_radius,injected-control,3,15,38.0,-0.0014823455130681396,-0.0025611519813537598,0.005207809619605541,-0.2846389710903168,10.0,28.0,0.0050976432976312935,0.012490710243582726,0.08798240351929613,1.0,0.1967117493531861,-0.0021882551435341993,-0.6206155629790335,0.007998400319936013,0.46290741851629674,4.0
head,spectral_radius,injected-control,3,16,38.0,-0.00017676227435003966,-0.0005199313163757324,0.005564109887927771,-0.03176829218864441,16.0,22.0,0.417692190836533,0.5182911157608032,0.847630473905219,1.0,0.9117369803350254,5.733988205608958e-05,0.011331054342313903,0.9618076384723055,1.0,4.0
head,spectral_radius,injected-control,3,17,38.0,-0.001956864492967725,-0.0015736818313598633,0.003502434119582176,-0.5587155818939209,8.0,30.0,0.0004719867429230362,0.0011663481127470732,0.0009998000399920016,0.2549490101979604,0.008125359055173092,-0.0022110751446345876,-0.6590398610156668,0.0011997600479904018,0.32733453309338134,4.0
head,spectral_radius,injected-control,3,18,38.0,0.0013623550767078996,0.0013747811317443848,0.0034028112422674894,0.4003616273403168,28.0,10.0,0.0050976432976312935,0.004043195862323046,0.014797040591881624,0.9352129574085183,0.05118976204759049,0.0018238181437988216,0.664568630144942,0.0005998800239952009,0.3091381723655269,4.0
head,spectral_radius,injected-control,3,19,38.0,0.0012004782911390066,0.001376807689666748,0.005455752834677696,0.2200389802455902,25.0,13.0,0.07295138851623051,0.11132200807332993,0.19876024795040992,1.0,0.34380150996827663,0.0010220317644198268,0.17938296296393874,0.40571885622875425,1.0,4.0
head,spectral_radius,injected-control,3,20,38.0,-0.0013970419531688094,-0.0023875832557678223,0.011399154551327229,-0.12255662679672241,16.0,22.0,0.417692190836533,0.10587288439273834,0.45670865826834633,1.0,0.5919869190718818,-0.0032296378074321277,-0.41844525324113224,0.008398320335932814,0.9928014397120576,4.0
head,spectral_radius,injected-control,3,21,38.0,-0.0014367479598149657,-0.00022906064987182617,0.010032550431787968,-0.14320865273475647,18.0,20.0,0.8714146793645341,0.48167213797569275,0.3709258148370326,1.0,0.5203123758809881,-0.0016301603602744495,-0.20199147572439718,0.2419516096780644,1.0,4.0
head,spectral_radius,injected-control,3,22,38.0,-0.0016977348132058978,-0.0036020278930664062,0.010596834123134613,-0.16021151840686798,11.0,27.0,0.013852965261321515,0.0025363387539982796,0.3489302139572086,1.0,0.5046674280963017,-0.00423461568645549,-0.6768066155588593,0.0005998800239952009,0.276744651069786,4.0
head,spectral_radius,injected-control,3,23,38.0,-0.0024354394990950823,-0.0019327998161315918,0.006936513353139162,-0.3511042892932892,14.0,24.0,0.14330665429588407,0.06727869063615799,0.03119376124775045,0.994001199760048,0.0956359626278337,-0.0031274136271562335,-0.4758378388172393,0.015396920615876825,0.9466106778644271,4.0
head,spectral_radius,injected-control,3,24,38.0,-0.007409767247736454,-0.007574319839477539,0.009316208772361279,-0.7953629493713379,6.0,32.0,2.4342560209333897e-05,1.8950508092530072e-05,0.0003999200159968006,0.004399120175964807,0.004550201070896932,-0.008003055117223667,-1.0808852811803653,0.0001999600079984003,0.0013997200559888023,4.0
head,spectral_radius,injected-control,3,25,38.0,0.0016831535613164306,0.0016024112701416016,0.006060199812054634,0.2777389585971832,23.0,15.0,0.2558750795433298,0.1216227263212204,0.09158168366326734,1.0,0.20211130187755552,0.001237271879240325,0.20199221473669468,0.3169366126774645,1.0,4.0
head,spectral_radius,injected-control,3,26,38.0,-0.007301929872483015,-0.0064563751220703125,0.007103390526026487,-1.0279499292373657,5.0,33.0,4.255962267052382e-06,1.223452272824943e-07,0.0001999600079984003,0.0001999600079984003,0.0030111624733876754,-0.006325883283164929,-0.9953405414371408,0.0001999600079984003,0.004399120175964807,4.0
head,spectral_radius,injected-control,3,27,38.0,-6.294877675827593e-05,-0.0020195841789245605,0.013441134244203568,-0.004683293402194977,15.0,23.0,0.2558750795433298,0.11811137199401855,0.9912017596480703,1.0,0.9950888253721805,0.0024786812079084478,0.1979654580734138,0.8464307138572286,1.0,4.0
head,spectral_radius,injected-control,3,28,38.0,0.0017416508635506034,0.0011185407638549805,0.0068949139676988125,0.2525993585586548,22.0,16.0,0.417692190836533,0.24318096041679382,0.1289742051589682,1.0,0.25535587863122355,0.0012168771970789396,0.2043637412070816,0.2393521295740852,1.0,4.0
head,spectral_radius,injected-control,3,29,38.0,-0.00047571095637977123,-0.002118706703186035,0.009726305492222309,-0.04890972748398781,16.0,22.0,0.417692190836533,0.2802351117134094,0.7550489902019596,1.0,0.8440722335882168,-0.0014730207032807646,-0.2179268639303743,0.3623275344931014,1.0,4.0
head,spectral_radius,injected-control,3,30,38.0,-0.002533194376155734,-0.0020058155059814453,0.008769008331000805,-0.2888803780078888,14.0,24.0,0.14330665429588407,0.06507603824138641,0.08258348330333934,1.0,0.18626759229651868,-0.0024828979707813416,-0.3255214510529191,0.07498500299940011,1.0,4.0
head,spectral_radius,injected-control,3,31,38.0,-0.002102626021951437,-0.0027185678482055664,0.00978103931993246,-0.21496959030628204,11.0,27.0,0.013852965261321515,0.023370742797851562,0.1867626474705059,1.0,0.3308736176640104,-0.002897860021356642,-0.3847533333966437,0.07938412317536493,0.9992001599680064,4.0
head,spectral_radius,injected-control,4,0,38.0,-0.0034739626571536064,-0.003892183303833008,0.007749770302325487,-0.44826653599739075,11.0,27.0,0.013852965261321515,0.004251730628311634,0.00639872025594881,0.7564487102579485,0.02899243160217514,-0.004895725080604743,-0.7163201845045445,0.0001999600079984003,0.18136372725454908,4.0
head,spectral_radius,injected-control,4,1,38.0,0.0025921871419996023,-0.0015736818313598633,0.015453103929758072,0.16774539649486542,17.0,21.0,0.6271025701571489,0.98856520652771,0.34513097380523894,1.0,0.5034389133569297,-0.0006964524804406703,-0.07922565542060109,0.6346730653869226,1.0,4.0
head,spectral_radius,injected-control,4,2,38.0,-0.0006077603320591152,-0.001516878604888916,0.005480559077113867,-0.1108938530087471,13.0,25.0,0.07295138851623051,0.11132200807332993,0.489502099580084,1.0,0.6208496572290481,-0.0008818098209326924,-0.1880718407969236,0.3161367726454709,1.0,4.0
head,spectral_radius,injected-control,4,3,38.0,-0.003176403697580099,-0.004376709461212158,0.006945138797163963,-0.45735639333724976,9.0,29.0,0.0016580525261815637,0.0006831944920122623,0.007198560287942412,0.7118576284743051,0.03123443107988572,-0.004519928859257816,-0.8883954015837818,0.0005998800239952009,0.021595680863827234,4.0
head,spectral_radius,injected-control,4,4,38.0,-0.003813310759142041,-0.0019481182098388672,0.009271075949072838,-0.41131263971328735,14.0,24.0,0.14330665429588407,0.02071244642138481,0.009798040391921616,0.9042191561687662,0.0388883463617354,-0.004014348097675522,-0.42444652623861273,0.019396120775844832,0.9906018796240752,4.0
head,spectral_radius,injected-control,4,5,38.0,0.0037755025550723076,0.004335999488830566,0.006119245197623968,0.6169883012771606,29.0,9.0,0.0016580525261815637,0.00021384115098044276,0.0009998000399920016,0.10177964407118577,0.008125359055173092,0.0030314416455009927,0.5174160618432151,0.01199760047990402,0.8510297940411917,4.0
