level,measure,contrast,layer,head,n,mean,median,sd,dz,n_pos,n_neg,p_sign,p_wilcoxon,p_perm,p_fwer,q_bh
head,salience_readout,injected-control,14,19,39.0,0.018438564613461494,0.013373107649385929,0.018199553713202477,1.0131328105926514,33.0,6.0,1.429926123819314e-05,4.138928488828242e-08,0.0001999600079984003,0.0001999600079984003,0.0005534028329469241
head,salience_readout,injected-control,14,20,39.0,0.024337781593203545,0.010825034230947495,0.05551138147711754,0.438428670167923,29.0,10.0,0.0033778479119064286,0.0030428424943238497,0.008998200359928014,0.5604879024195161,0.015670335320690964
head,salience_readout,injected-control,14,21,39.0,-0.003831756766885519,-0.009905721992254257,0.03390855714678764,-0.11300265043973923,15.0,24.0,0.19959086691960698,0.28921324014663696,0.4849030193961208,1.0,0.5432611508332907
head,salience_readout,injected-control,14,22,39.0,0.0025209938175976276,0.0049349404871463776,0.024001523852348328,0.105034738779068,24.0,15.0,0.19959086691960698,0.3647196888923645,0.5208958208358329,1.0,0.5772698274197975
head,salience_readout,injected-control,14,23,39.0,0.02444017305970192,0.014778325334191322,0.026469353586435318,0.9233384728431702,38.0,1.0,1.4551915228366852e-10,1.0913936421275139e-11,0.0001999600079984003,0.0005998800239952009,0.0005534028329469241
head,salience_readout,injected-control,14,24,39.0,0.002127335174009204,0.002186556812375784,0.006725732237100601,0.3162979185581207,30.0,9.0,0.0010650196345523,0.009347643703222275,0.05658868226354729,0.9896020795840832,0.0811579980922583
head,salience_readout,injected-control,14,25,39.0,0.007921070791780949,0.0074321199208498,0.00724486168473959,1.0933363437652588,34.0,5.0,2.4299079086631536e-06,2.759043127298355e-08,0.0001999600079984003,0.0001999600079984003,0.0005534028329469241
head,salience_readout,injected-control,14,26,39.0,0.004560405388474464,0.004954550415277481,0.015457799658179283,0.2950229346752167,24.0,15.0,0.19959086691960698,0.07737864553928375,0.07778444311137772,0.997000599880024,0.10851671627527355
head,salience_readout,injected-control,14,27,39.0,0.01622362993657589,0.010739851742982864,0.021048909053206444,0.7707586884498596,32.0,7.0,7.025478407740593e-05,6.288100848905742e-06,0.0001999600079984003,0.002599480103979204,0.0005534028329469241
head,salience_readout,injected-control,14,28,39.0,0.0003147914248984307,0.004070386290550232,0.02974029630422592,0.010584676638245583,21.0,18.0,0.7492586247608418,0.6940286755561829,0.9530093981203759,1.0,0.9600343192658128
