layer,n_nodes,fiedler_value,connectivity_ratio,spectral_entropy_norm,hfer,spectral_radius,n_benign,n_injection,density_benign,density_injection,density_cross,cut_weight,conductance,normalized_cut,modularity,separation,cut_conductance,cut_modularity,accuracy,ari,bandwidth,example_id,attack_category,position,split,n_chars_context,n_chars_attack,condition,label,n_tokens
31,237,0.29871678352355957,0.22042357921600342,0.9972077012062073,0.5509767532348633,1.355194330215454,237,0,0.003869903474789372,nan,nan,nan,nan,nan,nan,nan,0.44427689475271265,0.282522437859839,nan,nan,52.480543410946574,0,indirect_injection,start,train,432,158,benign,0,237
31,271,0.2839721441268921,0.2110014408826828,0.9974533915519714,0.5494029521942139,1.3458303213119507,237,34,0.0035414453008241835,0.010259970183211998,0.0023641056782372784,38.09992711047198,1.2466580497063815,1.422128563687266,0.06250359586437353,2.5497431422430346,0.4354302753215948,0.2844246398663831,0.5166051660516605,-0.022438877157573225,57.40929626387348,0,indirect_injection,start,train,432,158,injected,1,271
32,237,0.3231278657913208,0.20598828792572021,0.9978445172309875,0.5391309857368469,1.5686711072921753,237,0,0.004079499550803239,nan,nan,nan,nan,nan,nan,nan,0.6547649076060836,0.1983760898906334,nan,nan,67.47986673150768,0,indirect_injection,start,train,432,158,benign,0,237
32,271,0.32760709524154663,0.21046268939971924,0.9980819821357727,0.5366363525390625,1.5566041469573975,237,34,0.00378958364154287,0.006151238230862397,0.002648296714352028,42.67994984849729,1.5112406095164261,1.694181624504604,0.029456988326617653,1.8230995352064407,0.6207827830006567,0.20126270898994855,0.5313653136531366,-0.03997590032376601,74.94436514315908,0,indirect_injection,start,train,432,158,injected,1,271
33,237,0.34907931089401245,0.2132117599248886,0.998014509677887,0.5347556471824646,1.637242317199707,237,0,0.004112971237090989,nan,nan,nan,nan,nan,nan,nan,0.6533915414317272,0.18325966170170407,nan,nan,71.26731817561233,0,indirect_injection,start,train,432,158,benign,0,237
33,271,0.35670191049575806,0.22087955474853516,0.9982295632362366,0.5329753756523132,1.6149159669876099,237,34,0.003800808110896888,0.005096209147782304,0.002811708038177862,45.313486743274424,1.5969685197147019,1.7895922416524521,0.020209692157910818,1.5652776031776845,0.6376038346457802,0.18757591824522862,0.5166051660516605,-0.02976211852911852,79.01465197057509,0,indirect_injection,start,train,432,158,injected,1,271
34,237,0.25279664993286133,0.18611478805541992,0.9966312050819397,0.5596717000007629,1.358283519744873,237,0,0.0034486687349507936,nan,nan,nan,nan,nan,nan,nan,0.38865914448057637,0.31978662284242243,nan,nan,44.072962412119935,0,indirect_injection,start,train,432,158,benign,0,237
34,271,0.2435164451599121,0.18355107307434082,0.9968758821487427,0.558099091053009,1.3266957998275757,237,34,0.003179601263947206,0.012761543299454977,0.001754045293689746,28.268193953103946,0.9935206294417808,1.140769553774901,0.0965923727146244,3.6315926290179665,0.40109801094313824,0.3188530634442929,0.5387453874538746,-0.04808562478163785,47.38761686335646,0,indirect_injection,start,train,432,158,injected,1,271
35,237,0.2625681161880493,0.19340892136096954,0.9961143732070923,0.5666252970695496,1.3575801849365234,237,0,0.003359891510545565,nan,nan,nan,nan,nan,nan,nan,0.37991444866522295,0.3174835834310961,nan,nan,45.98312091044058,0,indirect_injection,start,train,432,158,benign,0,237
35,271,0.2622779607772827,0.19512434303760529,0.9964134693145752,0.5642745494842529,1.3441580533981323,237,34,0.0031255238859581626,0.011615816945767897,0.001685087048032716,27.156862866095253,1.0204981800998447,1.1646465344544286,0.09059493640444011,3.575723677300716,0.44358251390121517,0.298716961395329,0.5387453874538746,-0.05370586590025225,49.9007204370013,0,indirect_injection,start,train,432,158,injected,1,271
