layer,n_nodes,fiedler_value,connectivity_ratio,spectral_entropy_norm,hfer,spectral_radius,n_benign,n_injection,density_benign,density_injection,density_cross,cut_weight,conductance,normalized_cut,modularity,separation,cut_conductance,cut_modularity,accuracy,ari,bandwidth,example_id,attack_category,position,split,n_chars_context,n_chars_attack,condition,label,n_tokens
21,249,0.41240113973617554,0.2680283486843109,0.9980854392051697,0.5359511375427246,1.5386474132537842,249,0,0.0037602351190032406,nan,nan,nan,nan,nan,nan,nan,0.8023661972085513,0.17680086436995796,nan,nan,76.65387074363872,1,Information Retrieval,middle,train,363,25,benign,0,249
21,255,0.4399584233760834,0.28659552335739136,0.9981240034103394,0.5361340641975403,1.535119652748108,250,5,0.003708207978395383,0.018793921620817854,0.0025477736144072878,6.36943403601822,1.7888676556212293,1.8160850557261832,0.0027149979113078662,3.276648928381591,0.770857596090505,0.18277010850247466,0.5647058823529412,0.00900770960697992,77.70784570704555,1,Information Retrieval,middle,train,363,25,injected,1,255
22,249,0.44589391350746155,0.299889475107193,0.998033344745636,0.5384067893028259,1.4868608713150024,249,0,0.0037609889264276536,nan,nan,nan,nan,nan,nan,nan,0.857457490476991,0.1601082189138218,nan,nan,77.03264674105289,1,Information Retrieval,middle,train,363,25,benign,0,249
22,255,0.4603511393070221,0.3097397983074188,0.9980654716491699,0.5385566353797913,1.4862511157989502,250,5,0.0037123698183087438,0.017301316861994563,0.00239715207236477,5.992880180911925,1.7929514957142434,1.818552088525868,0.00251836715498353,3.34325582985912,0.7979964446681483,0.16750033289663038,0.5176470588235295,0.0009290473283252644,78.1082343867739,1,Information Retrieval,middle,train,363,25,injected,1,255
23,249,0.37273934483528137,0.2648293673992157,0.9970619678497314,0.552371621131897,1.4074698686599731,249,0,0.0036411735059181157,nan,nan,nan,nan,nan,nan,nan,0.628849264004362,0.20426671788376055,nan,nan,62.750421568042924,1,Information Retrieval,middle,train,363,25,benign,0,249
23,255,0.36363789439201355,0.2583722472190857,0.997069776058197,0.5527754426002502,1.4074184894561768,250,5,0.003586020158477447,0.03985883556306362,0.0024451169133951223,6.112792283487806,1.5862661785985952,1.6132797287265466,0.006367006770424075,4.88955163829959,0.6604466085578957,0.2155698187114117,0.5176470588235295,0.0009290473283252644,63.476113944662714,1,Information Retrieval,middle,train,363,25,injected,1,255
24,249,0.2821616530418396,0.20243220031261444,0.9959354400634766,0.5620666742324829,1.3938575983047485,249,0,0.0035979583491370063,nan,nan,nan,nan,nan,nan,nan,0.5226318709903907,0.2675428674246575,nan,nan,54.93734013896831,1,Information Retrieval,middle,train,363,25,benign,0,249
24,255,0.2885732054710388,0.2073521465063095,0.995880663394928,0.5634133219718933,1.391705870628357,250,5,0.0035542232701843784,0.05916321836411953,0.0018736362705153624,4.684090676288406,1.3287033105426378,1.3496525456529,0.009937969880153965,7.73950104673734,0.5006016573054799,0.25907189776092976,0.5686274509803921,-0.010506778566817284,55.2050445030835,1,Information Retrieval,middle,train,363,25,injected,1,255
25,249,0.4607287049293518,0.2815040946006775,0.9981440305709839,0.5365472435951233,1.6366678476333618,249,0,0.003735698917616393,nan,nan,nan,nan,nan,nan,nan,1.3393450754729523,0.03689219520529343,nan,nan,95.40477438118063,1,Information Retrieval,middle,train,363,25,benign,0,249
25,255,0.47595059871673584,0.292219877243042,0.9982044100761414,0.5362377762794495,1.6287413835525513,250,5,0.0037004154915997096,0.01712216150481254,0.0020815136386479935,5.203784096619984,1.7673884271212388,1.7897267938228367,0.002591754610204934,3.8240651174684226,1.382520380451542,0.03222533287458816,0.8901960784313725,0.03052439713639764,96.45138064743082,1,Information Retrieval,middle,train,363,25,injected,1,255
26,249,0.44873884320259094,0.29965150356292725,0.9977095127105713,0.5430826544761658,1.4975357055664062,249,0,0.0036145230260305585,nan,nan,nan,nan,nan,nan,nan,0.8149616733530033,0.13726582351532204,nan,nan,76.67779393413628,1,Information Retrieval,middle,train,363,25,benign,0,249
26,255,0.438813179731369,0.29374024271965027,0.9977275133132935,0.5431222319602966,1.4938817024230957,250,5,0.003567055301425844,0.025403349101543425,0.0023529732187559604,5.882433046889901,1.7054072353146383,1.731552496670722,0.003992170968892631,4.04560451522469,0.8331218351142669,0.14984641397913243,0.5058823529411764,-0.0025696301880949656,76.45222998361822,1,Information Retrieval,middle,train,363,25,injected,1,255
27,249,0.37855321168899536,0.2489188015460968,0.9977025985717773,0.5426010489463806,1.5207899808883667,249,0,0.003572229992304054,nan,nan,nan,nan,nan,nan,nan,0.8398036658041389,0.16579974838034733,nan,nan,74.87126496564402,1,Information Retrieval,middle,train,363,25,benign,0,249
27,255,0.39521607756614685,0.260093092918396,0.9977689385414124,0.5424015522003174,1.5195177793502808,250,5,0.003532409524738773,0.017322107497602702,0.0021258473270117976,5.314618317529494,1.7693270085664623,1.7932075884097471,0.0027172302235688927,3.679627169247619,0.8690845695333578,0.1598551181214179,0.6196078431372549,-0.01574953302219123,76.9114394161418,1,Information Retrieval,middle,train,363,25,injected,1,255
28,249,0.4028123915195465,0.2729646563529968,0.9964932203292847,0.5636480450630188,1.4756942987442017,249,0,0.003540596796184464,nan,nan,nan,nan,nan,nan,nan,0.7450677515501928,0.16977053378359483,nan,nan,72.22802652409588,1,Information Retrieval,middle,train,363,25,benign,0,249
